title,year,genre,plot,runtime (minutes),RT rating (%),imdb rating
Tokyo Story,1953,Drama,"An old couple visit their children and grandchildren in the city, but receive little attention.",137,100,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Family, Fantasy","As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",130,96,8.1
Pather Panchali,1955,Drama,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",125,98,8.2
The Best Years of Our Lives,1946,"Drama, Romance, War","Three World War II veterans, two of them traumatized or disabled, return home to the American Midwest to discover that they and their families have been irreparably changed.",170,98,8.1
Kind Hearts and Coronets,1949,"Comedy, Crime",A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,106,100,8
All Quiet on the Western Front,1930,"Drama, War","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",152,98,8.1
Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure","Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",140,95,8.5
Once,2007,Short,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",5,97,N/A
Witness for the Prosecution,1957,"Crime, Drama, Mystery",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,116,100,8.4
His Girl Friday,1940,"Comedy, Drama, Romance","When a newspaper editor's ace reporter ex-wife is about to quit her job and remarry, he buys himself time to win her back by promising her an exclusive interview with a death row convict.",92,99,7.8
The Shop Around the Corner,1940,"Comedy, Drama, Romance","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",99,99,8
Nights of Cabiria,1957,Drama,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,110,100,8.1
Laura,1944,"Drama, Film-Noir, Mystery",A police detective falls in love with the woman whose murder he is investigating.,88,100,7.9
Fanny and Alexander,1982,Drama,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",188,100,8.1
The Social Network,2010,"Biography, Drama","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",120,96,7.8
Stalker,1979,"Drama, Sci-Fi",A guide leads two men through an area known as the Zone to find a room that grants wishes.,162,100,8
A Man Escaped,1956,"Drama, Thriller, War",A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.,101,100,8.2
Army of Shadows,1969,"Drama, War",An account of underground resistance fighters in Nazi-occupied France.,145,97,8.1
"Rome, Open City",1945,"Drama, Thriller, War","During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.",103,100,8
Good Will Hunting,1997,"Drama, Romance","A therapist counsels Will Hunting, a janitor with a genius IQ.",126,97,8.3
La Strada,1954,Drama,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",108,98,8
Goodfellas,1990,"Biography, Crime, Drama","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",145,94,8.7
Rebecca,1940,"Drama, Mystery, Romance","A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.",130,98,8.1
The Silence of the Lambs,1991,"Crime, Drama, Horror","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118,95,8.6
The Terminator,1984,"Action, Adventure, Sci-Fi",A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,107,100,8.1
Ikiru,1952,Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,143,98,8.3
Le Samouraï,1967,"Crime, Drama, Thriller","After professional hitman Jef Costello is seen by witnesses, his efforts to provide himself an alibi drive him further into a corner.",101,92,8
