title,year,RT rating,plot,genre,runtime,imdb_rating
The Lady Eve,1941,99%,"A trio of classy card sharks targets a socially awkward brewery heir, until one of them falls in love with him.","Comedy, Romance",94 min,7.7
Hunt for the Wilderpeople,2016,97%,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,"Adventure, Comedy, Drama",101 min,7.8
007: Goldfinger,1964,99%,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",N/A,N/A,N/A
Lady Bird,2017,99%,"A fiercely independent teenager tries to make her own way in the world while wanting to get out of her hometown of Sacramento, California, and to get away from her complicated mother and recently-unemployed father.","Comedy, Drama",94 min,7.4
Persepolis,2007,96%,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,"Animation, Biography, Drama",96 min,8.0
Star Trek,2009,94%,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"Action, Adventure, Sci-Fi",127 min,7.9
Hell or High Water,2016,97%,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.","Crime, Drama, Thriller",102 min,7.6
Memento,2000,94%,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,"Mystery, Thriller",113 min,8.4
Catch Me if You Can,2002,96%,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography, Crime, Drama",141 min,8.1
Star Wars: Episode IV - A New Hope,1977,94%,Deleted scenes from Star Wars: Episode IV - A New Hope (1977).,"Action, Adventure, Fantasy",121 min,8.6
Shadow of a Doubt,1943,100%,"A teenage girl, overjoyed when her uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is the ""Merry Widow"" killer sought by the authorities.","Film-Noir, Thriller",108 min,7.8
Mr. Smith Goes to Washington,1939,97%,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.","Comedy, Drama",129 min,8.1
Ratatouille,2007,96%,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Animation, Adventure, Comedy",111 min,8.1
